objectid,commu_name,island,risk_rating,zone,st_areashape,st_perimetershape
133,South Point,Hawaii,High,3,32346134.9940742,27944.6206941148
134,Discovery Harbor,Hawaii,Medium,3,8709293.40421898,12383.6033913411
135,Kiolakaa,Hawaii,Low,3,14141956.3878665,16640.5896117103
136,Naalehu,Hawaii,Medium,3,19044853.48835,20764.3890636862
137,Hawaiian Ocean View Estates,Hawaii,Low,4,62525566.8615131,31613.3043672655
138,Rancho Estates,Hawaii,Low,4,39806738.3312334,25610.7832385611
139,Kalaoa,Hawaii,Medium,4,45886331.673808,30234.3252426259
140,Kaloko,Hawaii,Low,4,27986827.4612654,33318.4528451648
141,Kailua-Kona,Hawaii,High,4,60499735.7685501,51573.6131171005
142,Holualoa,Hawaii,Low,4,27176436.7046722,25150.057387906
143,Keauhou,Hawaii,Medium,4,22612205.9086662,20238.0786750681
144,Kainaliu,Hawaii,Medium,4,9553487.44644225,15747.7979954087
145,Kealakekua,Hawaii,Medium,4,14300755.0124948,19415.5316115751
146,Captain Cook,Hawaii,Low,4,36559829.271166,30772.1646521961
147,No Community Hawaii,Hawaii,N/A,0,8666347310.73424,1178940.56300377
148,Honomalino,Hawaii,Low,4,74944500.7215753,47815.2015174937
149,Milolii,Hawaii,Low,4,14903099.2241906,17049.5668843956
150,Honaunau/Papa,Hawaii,Low,4,65781957.3002665,54348.3953909981
151,Honaunau,Hawaii,Low,4,16190452.338195,18731.8819519369
152,Lanai City,Lanai,Low,2,5904017.67829325,9242.73186386561
153,No Community Lanai,Lanai,N/A,0,356171950.380726,101654.33088166
154,Manele,Lanai,Medium,1,3329762.01827955,9608.55938299528
155,Kaluakoi,Molokai,High,1,45833263.7612916,34436.3422009017
156,Kaunakakai,Molokai,High,1,9144384.75202795,16476.7382610024
157,Kalamaula,Molokai,High,1,7134106.13038257,12249.3310261931
158,Mauna Loa,Molokai,High,1,3745795.9646928,7806.13130519189
159,Hoolehua,Molokai,High,1,43219495.0870379,29301.0509166535
160,Naiwa,Molokai,Low,1,21113067.5879168,20270.3250338882
161,Kawela,Molokai,High,1,7862943.98541853,13603.2451164723
162,Kalaupapa,Molokai,Low,2,11426340.5486145,18448.2205741805
163,Halawa,Molokai,Low,2,1516090.22951738,6628.00508725228
164,Puu O Hoku,Molokai,Low,2,2716552.94939687,6949.52237839392
165,Kahakuloa,Maui,Medium,5,551778.565488611,2966.99204115791
166,Camp Maluhia,Maui,Medium,5,566513.919750622,3025.33175365214
167,Honokohua,Maui,Medium,1,2976607.26760451,9223.94938904674
168,Napili,Maui,Medium,1,1338167.8204387,5773.93903126134
169,Kahana,Maui,Medium,1,1314096.71960332,5113.83264940446
170,Honokowai,Maui,High,1,1921009.62716886,7491.2945534933
171,Kaanapali,Maui,High,1,4174057.52395691,8760.15387180367
172,Lahaina,Maui,High,1,6387377.16109085,12315.3665965299
173,Wahikuli,Maui,High,1,1753252.49776121,7328.53143870522
174,Olowalu,Maui,High,1,7593847.43474485,11619.9972431901
175,Launiupoko,Maui,High,1,6835400.55329397,10215.6538698187
176,Maalaea,Maui,High,1,880501.811424951,6055.91775066355
177,Kihei,Maui,High,1,22252405.9897797,30693.9914636396
178,Makena,Maui,High,1,4648079.88620208,12171.9368099154
179,Ulupalakua,Maui,Low,2,2396906.54941254,6341.57123658605
180,Wahikuli-Keokeo Homesteads,Maui,Low,2,7470518.50816915,11561.7931141846
181,Kula Hawaiian Homesteads,Maui,Medium,2,9358437.31630545,12094.0868715353
182,Wailuku Heights,Maui,Low,4,2017310.96902892,5783.37688249672
183,Waikapu,Maui,Medium,4,1487031.39408965,4940.72434962418
184,Kahului,Maui,High,4,15117424.8152258,24201.4027441862
185,Waihee,Maui,Medium,4,1949467.98828967,6784.00872266318
186,Wailuku,Maui,High,4,8444190.44537564,12847.477969336
187,Waiehu,Maui,Medium,4,1625687.663958,5989.14418454737
188,Spreckelsville,Maui,Low,4,1551165.70456827,7873.75627487195
189,Paia,Maui,Low,4,2961759.85867606,8197.40119047847
190,Kuau,Maui,Low,4,647900.806056865,3887.7061979269
191,Hailiimaile,Maui,Low,4,1043928.22318504,4118.11585013986
192,Waiakoa,Maui,Medium,2,29628794.5197955,25033.5934717674
193,Piiholo,Maui,Medium,2,5955032.73588474,15547.1683105078
194,Olinda,Maui,Medium,2,7125855.45489397,14068.9658164091
195,Makawao,Maui,Low,2,5791750.94900755,9762.10954265558
196,Pukalani,Maui,Low,2,7428266.55716494,11329.8255933654
197,Kula 200,Maui,Low,2,6358969.86954041,10821.7015743725
198,Upper Kula,Maui,Low,2,14431132.6439329,20329.6610655667
199,Lower Kula,Maui,Low,2,13492891.0038577,18238.2831202703
200,Haiku,Maui,Low,6,60056435.8232037,41507.0561452576
201,Nahiku,Maui,Low,6,6743111.81836159,11420.5621425157
202,Kailua,Maui,Low,6,4966850.27136485,9517.14055580257
203,Huelo,Maui,Low,6,7352151.16774704,14536.1590950196
204,Wailua,Maui,Low,6,4381388.31314856,9768.92284929383
205,Keanae,Maui,Low,6,5328619.63681222,11749.6126800576
206,Kaeleku,Maui,Low,6,6594490.77129161,11189.2394873206
207,Hana,Maui,Low,6,13442605.3575855,21961.8959821687
208,Hamoa,Maui,Low,6,6439883.63265446,12213.6909853055
209,Makaalae,Maui,Low,6,4593972.22006162,10058.9264620252
210,Koali,Maui,Low,6,5893297.19431761,11172.7292171916
211,Kipahulu,Maui,Low,6,9905416.16650278,16256.6970573188
212,No Community Maui,Maui,N/A,0,1542555154.4544,411910.111847596
213,No Community Molokai,Molokai,N/A,0,487335754.240755,208201.114789505
214,South Kamalo,Molokai,Medium,1,34222490.0972499,55596.0245581718
215,Kapaa,Kauai,High,3,9714233.73532469,12770.0815968924
216,Kahikinui,Maui,Medium,3,33458270.176569,25927.0882519916
217,East Honolulu (Diamond Head),Oahu,Medium,3,2726060.90963984,6197.99525288438
218,East Honolulu,Oahu,Low,3,31430210.6180171,45542.9158910525
219,Kailua,Oahu,Medium,5,6882532.59869561,12122.8404179641
220,Kailua,Oahu,Medium,5,1647275.9253307,5826.85635825646
221,Kaneohe,Oahu,Low,5,9934082.70947354,18006.6777583814
222,Kaneohe,Oahu,Medium,5,2051070.47865564,7347.66308646187
223,Kilauea Military Camp,Hawaii,Medium,3,174363.247086205,1690.41646082345
224,Keaau,Hawaii,Low,2,19757418.9440874,18826.2132155611
225,Kulani,Hawaii,Low,2,29811070.9358482,25995.1675537262
226,Punalulu,Hawaii,High,3,2035666.55903134,7673.32612127809
