objectid,id,island,volcano,line_code,description,relation,name,source,st_lengthshape
1046,1046,Hawaii,mloa,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",248.183930860239
1047,1047,Hawaii,mloa,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",2052.90331606064
1048,1048,Hawaii,mloa,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",1145.44260630822
1049,1049,Hawaii,mloa,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",639.084137131764
1050,1050,Hawaii,mloa,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",1260.69752612108
1051,1051,Hawaii,mloa,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",640.640753188156
1052,1052,Hawaii,mloa,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",1235.88796809032
1053,1053,Hawaii,mloa,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",141.593849681871
1054,1054,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",3591.96031905069
1055,1055,Hawaii,mloa,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",68.8433978972767
1056,1056,Hawaii,mloa,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",2410.11100667226
1057,1057,Hawaii,mloa,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",1106.59056254264
1058,1058,Hawaii,mloa,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",2759.91441222621
1059,1059,Hawaii,mloa,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",2025.24124877982
1060,1060,Hawaii,mloa,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",3857.93420329665
1061,1061,Hawaii,mloa,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",976.460339794312
1062,1062,Hawaii,mloa,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",2925.91178580936
1063,1063,Hawaii,mloa,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",507.729842283904
1064,1064,Hawaii,mloa,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",1643.21496961663
1065,1065,Hawaii,mloa,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",533.010122775737
1066,1066,Hawaii,mloa,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",1898.22734391474
1067,1067,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",419.94415855033
1068,1068,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",5547.57806901813
1069,1069,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",1392.11137013839
1070,1070,Hawaii,mloa,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",1319.801076585
1071,1071,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",678.297552231915
1072,1072,Hawaii,mloa,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",2697.38047551391
1073,1073,Hawaii,mloa,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",1810.36035115871
1074,1074,Hawaii,mloa,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",2446.83212535316
1075,1075,Hawaii,mloa,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",1375.57696989959
1076,1076,Hawaii,mloa,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",1379.91671193628
1077,1077,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",3097.15864954101
1078,1078,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",180.505024799419
1079,1079,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",430.240808944794
1080,1080,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",1274.30696813125
1081,1081,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",1072.47996151953
1082,1082,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",1901.77674107388
1083,1083,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",202.205218477602
1084,1084,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",1161.16476591727
1085,1085,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",264.143039947585
1086,1086,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",1393.29269140952
1087,1087,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",301.298419706258
1088,1088,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",381.994679058443
1089,1089,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",1805.54745299912
1090,1090,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",1053.67882069793
1091,1091,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",314.273874498605
1092,1092,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",39.6955695744671
1093,1093,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",612.502481023263
1094,1094,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",603.362655091665
1095,1095,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",995.552145515153
1096,1096,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",1669.57771143483
1097,1097,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",763.29559807772
1098,1098,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",1370.01715690411
1099,1099,Hawaii,kila,24,Normal fault concealed,Yes,Kilauea,"Wolfe and Morris, 1996a",2680.77784466328
1100,1100,Hawaii,kila,24,Normal fault concealed,Yes,Kilauea,"Wolfe and Morris, 1996a",567.231614880179
1101,1101,Hawaii,kila,24,Normal fault concealed,Yes,Kilauea,"Wolfe and Morris, 1996a",1798.16252021228
1102,1102,Hawaii,kila,24,Normal fault concealed,Yes,Kilauea,"Wolfe and Morris, 1996a",622.88629636668
1103,1103,Hawaii,kila,24,Normal fault concealed,Yes,Kilauea,"Wolfe and Morris, 1996a",676.188848441646
1104,1104,Hawaii,kila,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",194.338470966248
1105,1105,Hawaii,kila,24,Normal fault concealed,Yes,Kilauea,"Wolfe and Morris, 1996a",208.285843497261
1106,1106,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",322.509333610671
1107,1107,Hawaii,kila,24,Normal fault concealed,Yes,Kilauea,"Wolfe and Morris, 1996a",649.455285693139
1108,1108,Hawaii,kila,24,Normal fault concealed,Yes,Kilauea,"Wolfe and Morris, 1996a",727.200143245865
1109,1109,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",250.678437464223
1110,1110,Hawaii,kila,24,Normal fault concealed,Yes,Kilauea,"Wolfe and Morris, 1996a",1160.38165431662
1111,1111,Hawaii,kila,21,Normal fault well-located,Yes,Kilauea,"Wolfe and Morris, 1996a",344.24267277727
1112,1112,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",191.83953023097
1113,1113,Hawaii,kila,21,Normal fault well-located,Yes,Kilauea,"Wolfe and Morris, 1996a",240.010456465442
1114,1114,Hawaii,kila,24,Normal fault concealed,Yes,Kilauea,"Wolfe and Morris, 1996a",940.120205062758
1115,1115,Hawaii,kila,24,Normal fault concealed,Yes,Kilauea,"Wolfe and Morris, 1996a",996.685173687145
1116,1116,Hawaii,kila,24,Normal fault concealed,Yes,Kilauea,"Wolfe and Morris, 1996a",67.6333494650089
1117,1117,Hawaii,kila,24,Normal fault concealed,Yes,Kilauea,"Wolfe and Morris, 1996a",419.659449205808
1118,1118,Hawaii,kila,24,Normal fault concealed,Yes,Kilauea,"Wolfe and Morris, 1996a",182.113815428738
1119,1119,Hawaii,kila,24,Normal fault concealed,Yes,Kilauea,"Wolfe and Morris, 1996a",977.77454191897
1120,1120,Hawaii,kila,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",248.329336404209
1121,1121,Hawaii,kila,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",931.443627902024
